Abajo Peak,"11,368ft (3,465m)",No location,37°50′22″N,109°27′45″W,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Beautiful_Utah_State_HWY_191.jpg/1200px-Beautiful_Utah_State_HWY_191.jpg,Mountain,"Abajo Peak is the highest peak in the Abajo Mountains of southeast Utah, United States and is located in the Manti-La Sal National Forest. The summit is 7 miles (11 km) southwest of Monticello, Utah and 23 miles (37 km) west of the Colorado border. The summit provides a panoramic view of southeastern Utah, Colorado, and the Four Corners region where Utah, Arizona, Colorado and New Mexico meet. There are several communication towers on the peak.
"
Acamarachi,"6,046m (19,836ft)","Antofagasta Region, Chile",23°18′S,67°37′W,https://upload.wikimedia.org/wikipedia/commons/1/13/Acamarachi_Volcano.jpg,Mountain,"Acamarachi (also known as Pili) is a 6,046-metre (19,836 ft) high volcano in northern Chile. In this part of Chile, it is the highest volcano. Its name means ""black moon"". It is a volcano in the Central Volcanic Zone of the Andes, a zone of strong volcanic activity during the last million years. Old volcanoes in the area are well-preserved, due to the dry climate.
"
Acatenango,"3,976m (13,045ft)",No location,14°30′03″N,90°52′33″W,https://upload.wikimedia.org/wikipedia/commons/2/20/Volcan_de_Fuego_y_Acatenango.jpg,Mountain,"Acatenango is a stratovolcano in Guatemala, close to the city of Antigua. The volcano has two peaks, Pico Mayor (Highest Peak) and Yepocapa (3,880 m) which is also known as Tres Hermanas (Three Sisters). Acatenango is joined with Volcán de Fuego and collectively the volcano complex is known as La Horqueta.
"
Aconcagua,"6,960.8m (22,837ft)","Mendoza, Argentina",32°39′13″S,70°00′40″W,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Aconcagua2016.jpg/1200px-Aconcagua2016.jpg,Mountain,"Aconcagua (Spanish pronunciation: [akoŋˈkaɣwa]), with a summit elevation of 6,960.8 metres (22,837 ft), is the highest mountain in both the Southern and Western Hemispheres. It is located in the Andes mountain range, in the Mendoza Province, Argentina, and lies 112 kilometres (70 mi) northwest of its capital, the city of Mendoza, about five kilometres from San Juan Province and 15 kilometres from the international border with Chile. The mountain itself lies entirely within Argentina, immediately east of Argentina's border with Chile. Its nearest higher neighbor is Tirich Mir in the Hindu Kush, 16,520 kilometres (10,270 mi) away. It is one of the Seven Summits.
"
Acotango,"6,052m (19,856ft)",No location,18°22′56″S,69°02′52″W,https://upload.wikimedia.org/wikipedia/commons/0/00/Volcan_Acotango_and_Cerro_Capurata.jpg,Mountain,"Acotango is the central and highest of a group of stratovolcanoes straddling the border of Bolivia and Chile. It is 6,052 metres (19,856 ft) high. The group is known as Kimsa Chata and consists of three mountains: Acotango, Umurata (5,730 metres (18,799 ft)) north of it and Capurata (5,990 metres (19,652 ft)) south of it.
"
Adam's Peak,"2,243m (7,359ft)","Sabaragamuwa, Sri Lanka",06°48′41″N,80°29′59″E,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Sri_Pada.JPG/1200px-Sri_Pada.JPG,Mountain,"Adam's Peak is a 2,243 m (7,359 ft) tall conical mountain located in central Sri Lanka. It is well known for the Sri Pada, i.e.,  ""sacred footprint"", a  1.8 m (5 ft 11 in) rock formation near the summit, which in Buddhist tradition is held to be the footprint of the Buddha, in Hindu tradition that of Shiva and in Islamic and Christian tradition that of Adam, or that of St. Thomas.
"
Aello Peak,"14,445ft (4,403m)","Valdez-Cordova Census Area, Alaska, U.S.",61°21′55″N,141°53′55″W,https://upload.wikimedia.org/wikipedia/commons/0/0b/Relief_map_of_USA_Alaska.png,Mountain,"Aello Peak is the highest peak of a mountain group called The Twaharpies, just west of Mount Bona in the Saint Elias Mountains of Alaska. While not highly significant in terms of prominence or isolation (it is just 5 miles (8 km) west of the summit of Mount Bona), it has a tremendous south face. From the summit, this face drops 7,000 feet (2,130 m) in just over 1 mile (1.6 km), and 8,500 feet (2,590 m) in less than 2.5 miles (4.0 km). In terms of vertical relief and steepness, this is one of the major faces in North America.
"
Aguja Saint Exupery,"2,558m (8,392ft)","Patagonia, Argentina",49°17′18.5″S,73°02′17.7″W,https://upload.wikimedia.org/wikipedia/commons/b/b3/Aguja_Saint_Exupery.jpg,Mountain,"The Aguja Saint Exupery is a mountain spear ('aguja') located near the Cerro Chaltén in the Los Glaciares National Park in Patagonia, Argentina.
"
Aiguille Blanche de Peuterey,"4,112m (13,491ft)",No location,45°49′28″N,6°52′58″E,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Blanche_de_Peuterey.JPG/1200px-Blanche_de_Peuterey.JPG,Mountain,"The Aiguille Blanche de Peuterey (4,112 m) is a mountain of the Mont Blanc massif in Italy. It is considered the most difficult and serious of the alpine 4000-m mountains to climb.
"
Aiguille Rouge,"3,226m (10,584ft)","Savoie, France",45°33′07″N,06°50′55″E,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Aiguille_Rouge.jpg/1200px-Aiguille_Rouge.jpg,Mountain,"Aiguille Rouge is a mountain of Savoie, France. It lies in the Massif de la Vanoise range. It has an elevation of 3,227 metres above sea level, and is the highest point within the ski area of Les Arcs. It can be reached by cable-car.
"
